FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,url,past_fights
Scott Adams,"6' 0""",225 lbs.,--,Southpaw,--,http://ufcstats.com/fighter-details/2620f3eb21c79614,"[{'wl': 'win', 'opponent': 'Ian Freeman', 'method': 'SUB\n \n \n\n Heel Hook', 'round': '1', 'time': '3:09'}]"
Juan Adams,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",http://ufcstats.com/fighter-details/83b00f7597e5ac83,"[{'wl': 'loss', 'opponent': 'Justin Tafa', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:59'}, {'wl': 'loss', 'opponent': 'Greg Hardy', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:45'}, {'wl': 'loss', 'opponent': 'Arjan Bhullar', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Chris de la Rocha', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '3', 'time': '0:58'}, {'wl': 'win', 'opponent': 'Shawn Teed', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:17'}]"
Anthony Adams,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",http://ufcstats.com/fighter-details/a77633a989013265,"[{'wl': 'loss', 'opponent': 'Impa Kasanganay', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chibwikem Onyenegecha', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Zarrukh Adashev,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,"[{'wl': 'loss', 'opponent': 'Ode Osbourne', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:01'}, {'wl': 'win', 'opponent': 'Ryan Benoit', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Sumudaerji', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Tyson Nam', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:32'}]"
Israel Adesanya,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",http://ufcstats.com/fighter-details/1338e2c7480bdf9e,"[{'wl': 'loss', 'opponent': 'Sean Strickland', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Alex Pereira', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '4:21'}, {'wl': 'loss', 'opponent': 'Alex Pereira', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '5', 'time': '2:01'}, {'wl': 'win', 'opponent': 'Jared Cannonier', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Robert Whittaker', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Marvin Vettori', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jan Blachowicz', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Paulo Costa', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '3:59'}, {'wl': 'win', 'opponent': 'Yoel Romero', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Robert Whittaker', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '3:33'}, {'wl': 'win', 'opponent': 'Kelvin Gastelum', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Anderson Silva', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Derek Brunson', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '4:51'}, {'wl': 'win', 'opponent': 'Brad Tavares', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Marvin Vettori', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Rob Wilkinson', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '2', 'time': '3:37'}]"
Sam Adkins,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965",http://ufcstats.com/fighter-details/0e9869d712e81f8f,"[{'wl': 'loss', 'opponent': 'David Abbott', 'method': 'SUB\n \n \n\n Forearm Choke', 'round': '1', 'time': '2:06'}, {'wl': 'win', 'opponent': 'Felix Lee Mitchell', 'method': 'U-DEC', 'round': '2', 'time': '3:00'}, {'wl': 'loss', 'opponent': 'Don Frye', 'method': 'KO/TKO', 'round': '1', 'time': '0:48'}, {'wl': 'win', 'opponent': 'Keith Mielke', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:50'}]"
Nick Agallar,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979",http://ufcstats.com/fighter-details/ebc5af72ad5a28cb,"[{'wl': 'loss', 'opponent': 'Yves Edwards', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '2:14'}]"
Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",http://ufcstats.com/fighter-details/a08ddd04eaffd81d,"[{'wl': 'loss', 'opponent': 'Gillian Robertson', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '2:19'}, {'wl': 'loss', 'opponent': 'Maryna Moroz', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '2', 'time': '3:27'}, {'wl': 'win', 'opponent': 'Sabina Mazo', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '3', 'time': '0:53'}, {'wl': 'loss', 'opponent': 'Shana Dobson', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '1:38'}, {'wl': 'win', 'opponent': 'Hannah Cifers', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '1', 'time': '2:42'}, {'wl': 'loss', 'opponent': 'Tracy Cortez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Marcelo Aguiar,"5' 10""",170 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/44aa652b181bcf68,"[{'wl': 'loss', 'opponent': 'Matt Hughes', 'method': 'KO/TKO', 'round': '1', 'time': '4:34'}]"
Fabio Aguiar,"6' 0""",185 lbs.,--,,"Feb 10, 1988",http://ufcstats.com/fighter-details/501821d7fb7b95c1,[]
Edwin Aguilar,"5' 10""",185 lbs.,--,,--,http://ufcstats.com/fighter-details/6cadc0a0ba7dc015,"[{'wl': 'loss', 'opponent': 'Martin Kampmann', 'method': 'KO/TKO', 'round': '1', 'time': '2:43'}]"
Jessica Aguilar,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",http://ufcstats.com/fighter-details/8f382b3baa954d2a,"[{'wl': 'loss', 'opponent': 'Marina Rodriguez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Zhang Weili', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '3:41'}, {'wl': 'win', 'opponent': 'Jodie Esquibel', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Cortney Casey', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Claudia Gadelha', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Kevin Aguilar,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",http://ufcstats.com/fighter-details/cf946e03ba2e7666,"[{'wl': 'loss', 'opponent': 'Tucker Lutz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Charles Rosa', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Zubaira Tukhugov', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:21'}, {'wl': 'loss', 'opponent': 'Dan Ige', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Enrique Barzola', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ricky Glenn', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Joey Gomez', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Christian Aguilera,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",http://ufcstats.com/fighter-details/ae071698e1a3ccd4,"[{'wl': 'loss', 'opponent': 'Carlston Harris', 'method': 'SUB\n \n \n\n Anaconda Choke', 'round': '1', 'time': '2:52'}, {'wl': 'loss', 'opponent': 'Sean Brady', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '2', 'time': '1:47'}, {'wl': 'win', 'opponent': 'Anthony Ivy', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '0:59'}]"
Mike Aina,"5' 9""",155 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a,"[{'wl': 'nc', 'opponent': 'Billy Evangelista', 'method': 'Overturned', 'round': '2', 'time': '3:42'}, {'wl': 'loss', 'opponent': 'Nick Diaz', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Hitomi Akano,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974",http://ufcstats.com/fighter-details/2eada40ac8801559,"[{'wl': 'loss', 'opponent': 'Sara McMann', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Miesha Tate', 'method': 'U-DEC', 'round': '3', 'time': '3:00'}, {'wl': 'win', 'opponent': 'Carina Damm', 'method': 'SUB\n \n \n\n Armbar', 'round': '2', 'time': '1:48'}, {'wl': 'loss', 'opponent': 'Cristiane Justino', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '0:35'}]"
Omari Akhmedov,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",http://ufcstats.com/fighter-details/16690d100f995f8f,"[{'wl': 'loss', 'opponent': 'Brad Tavares', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Tom Breese', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '2', 'time': '1:41'}, {'wl': 'loss', 'opponent': 'Chris Weidman', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ian Heinisch', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Zak Cummings', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Tim Boetsch', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'draw', 'opponent': 'Marvin Vettori', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Abdul Razak Alhassan', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kyle Noke', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Elizeu Zaleski dos Santos', 'method': 'KO/TKO\n \n\n\n Knee', 'round': '3', 'time': '3:03'}, {'wl': 'loss', 'opponent': 'Sergio Moraes', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '2:18'}, {'wl': 'win', 'opponent': 'Brian Ebersole', 'method': 'KO/TKO', 'round': '1', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mats Nilsson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Gunnar Nelson', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '4:36'}, {'wl': 'win', 'opponent': 'Thiago Perpetuo', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '3:31'}]"
Yoshihiro Akiyama,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",http://ufcstats.com/fighter-details/b0550072e5f0afa7,"[{'wl': 'loss', 'opponent': 'Alberto Mina', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Amir Sadollah', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jake Shields', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Vitor Belfort', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:52'}, {'wl': 'loss', 'opponent': 'Michael Bisping', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chris Leben', 'method': 'SUB\n \n\n\n Triangle Choke', 'round': '3', 'time': '4:40'}, {'wl': 'win', 'opponent': 'Alan Belcher', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Masanori Tonooka', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '6:26'}, {'wl': 'win', 'opponent': 'Katsuyori Shibata', 'method': 'SUB\n \n \n\n Gi Choke', 'round': '1', 'time': '6:34'}, {'wl': 'nc', 'opponent': 'Kazuo Misaki', 'method': 'Overturned', 'round': '1', 'time': '7:48'}, {'wl': 'win', 'opponent': 'Denis Kang', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:45'}, {'wl': 'nc', 'opponent': 'Kazushi Sakuraba', 'method': 'Overturned', 'round': '1', 'time': '5:37'}, {'wl': 'win', 'opponent': 'Melvin Manhoef', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:58'}, {'wl': 'win', 'opponent': 'Kestutis Smirnovas', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '1', 'time': '3:01'}, {'wl': 'win', 'opponent': 'Taiei Kin', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '2:01'}, {'wl': 'win', 'opponent': 'Katsuhiko Nagata', 'method': 'KO/TKO\n \n \n\n Spinning Back Kick', 'round': '1', 'time': '2:25'}, {'wl': 'win', 'opponent': 'Tokimitsu Ishizawa', 'method': 'SUB\n \n \n\n Gi Choke', 'round': '2', 'time': '1:41'}, {'wl': 'win', 'opponent': 'Masakatsu Okuda', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:31'}, {'wl': 'win', 'opponent': 'Michael Lerma', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:47'}, {'wl': 'win', 'opponent': 'Carl Toomey', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '0:59'}, {'wl': 'loss', 'opponent': 'Jerome LeBanner', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '1', 'time': '2:24'}, {'wl': 'win', 'opponent': 'Francois Botha', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:54'}]"
Rostem Akman,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",http://ufcstats.com/fighter-details/1fc64507a0cb38cf,"[{'wl': 'loss', 'opponent': 'Jake Matthews', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Sergey Khandozhko', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Razak Al-Hassan,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982",http://ufcstats.com/fighter-details/38b50fd1e1b5b656,"[{'wl': 'loss', 'opponent': 'Kyle Kingsbury', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Steve Cantwell', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '4:04'}]"
Mostapha Al-Turk,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",http://ufcstats.com/fighter-details/1cf1310684a841f5,"[{'wl': 'loss', 'opponent': 'Jon Madsen', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Mirko Filipovic', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:06'}, {'wl': 'loss', 'opponent': 'Cheick Kongo', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '1', 'time': '4:37'}]"
Herdem Alacabek,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",http://ufcstats.com/fighter-details/7578cc6bd750206b,"[{'wl': 'loss', 'opponent': 'William Knight', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '4:34'}]"
Javi Alanis,"5' 6""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/2144954270be834d,"[{'wl': 'loss', 'opponent': 'Adam Antolin', 'method': 'KO/TKO', 'round': '2', 'time': '1:41'}]"
Alatengheili,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",http://ufcstats.com/fighter-details/1897b7b913736a7c,"[{'wl': 'win', 'opponent': 'Kleydson Rodrigues', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Chris Gutierrez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Chad Anheliger', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kevin Croom', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:47'}, {'wl': 'draw', 'opponent': 'Gustavo Lopez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Casey Kenney', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ryan Benoit', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Batgerel Danaa', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Amir Albazi,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",http://ufcstats.com/fighter-details/6d35bf94f7d30241,"[{'wl': 'win', 'opponent': 'Kai Kara-France', 'method': 'S-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Alessandro Costa', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '2:13'}, {'wl': 'win', 'opponent': 'Francisco Figueiredo', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '4:34'}, {'wl': 'win', 'opponent': 'Zhalgas Zhumagulov', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Malcolm Gordon', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '1', 'time': '4:42'}]"
Brett Albee,--,225 lbs.,--,,--,http://ufcstats.com/fighter-details/9b28292abe3166d5,"[{'wl': 'loss', 'opponent': 'Virgil Zwicker', 'method': 'KO/TKO', 'round': '1', 'time': '1:46'}]"
